ID,First Name,Last Name,Email,Age,Gender,Phone Number,D.O.B,Picture,Nationality
"{'name': 'DNI', 'value': '91084341-F'}",Joaquin,Castillo,joaquin.castillo@example.com,44,male,635-529-688,"{'date': '1978-05-12T11:38:16.616Z', 'age': 44}","{'large': 'https://randomuser.me/api/portraits/men/22.jpg', 'medium': 'https://randomuser.me/api/portraits/med/men/22.jpg', 'thumbnail': 'https://randomuser.me/api/portraits/thumb/men/22.jpg'}",ES
"{'name': 'SID', 'value': '310550228'}",Veljko,Nenadović,veljko.nenadovic@example.com,59,male,063-1947-244,"{'date': '1963-07-18T12:00:18.085Z', 'age': 59}","{'large': 'https://randomuser.me/api/portraits/men/53.jpg', 'medium': 'https://randomuser.me/api/portraits/med/men/53.jpg', 'thumbnail': 'https://randomuser.me/api/portraits/thumb/men/53.jpg'}",RS
"{'name': 'CPF', 'value': '740.116.048-73'}",Marco,Castro,marco.castro@example.com,41,male,(14) 6656-8087,"{'date': '1982-01-23T02:55:19.594Z', 'age': 41}","{'large': 'https://randomuser.me/api/portraits/men/89.jpg', 'medium': 'https://randomuser.me/api/portraits/med/men/89.jpg', 'thumbnail': 'https://randomuser.me/api/portraits/thumb/men/89.jpg'}",BR
"{'name': 'AVS', 'value': '756.5565.5983.55'}",Yannik,Henry,yannik.henry@example.com,59,male,079 876 52 61,"{'date': '1963-07-01T01:14:01.631Z', 'age': 59}","{'large': 'https://randomuser.me/api/portraits/men/91.jpg', 'medium': 'https://randomuser.me/api/portraits/med/men/91.jpg', 'thumbnail': 'https://randomuser.me/api/portraits/thumb/men/91.jpg'}",CH
"{'name': 'BSN', 'value': '81982532'}",Elmer,Ebben,elmer.ebben@example.com,26,male,(06) 12848880,"{'date': '1996-05-01T07:17:12.604Z', 'age': 26}","{'large': 'https://randomuser.me/api/portraits/men/26.jpg', 'medium': 'https://randomuser.me/api/portraits/med/men/26.jpg', 'thumbnail': 'https://randomuser.me/api/portraits/thumb/men/26.jpg'}",NL
"{'name': 'SSN', 'value': '498-17-2820'}",Steve,Dixon,steve.dixon@example.com,77,male,(573) 379-8981,"{'date': '1945-11-01T09:33:10.816Z', 'age': 77}","{'large': 'https://randomuser.me/api/portraits/men/18.jpg', 'medium': 'https://randomuser.me/api/portraits/med/men/18.jpg', 'thumbnail': 'https://randomuser.me/api/portraits/thumb/men/18.jpg'}",US
"{'name': 'FN', 'value': '30106732147'}",Sean,Grøtte,sean.grotte@example.com,55,male,95609796,"{'date': '1967-10-30T13:56:34.123Z', 'age': 55}","{'large': 'https://randomuser.me/api/portraits/men/88.jpg', 'medium': 'https://randomuser.me/api/portraits/med/men/88.jpg', 'thumbnail': 'https://randomuser.me/api/portraits/thumb/men/88.jpg'}",NO
"{'name': 'CPR', 'value': '280992-9506'}",Jacob,Møller,jacob.moller@example.com,30,male,12150327,"{'date': '1992-09-28T20:28:43.613Z', 'age': 30}","{'large': 'https://randomuser.me/api/portraits/men/30.jpg', 'medium': 'https://randomuser.me/api/portraits/med/men/30.jpg', 'thumbnail': 'https://randomuser.me/api/portraits/thumb/men/30.jpg'}",DK
"{'name': 'SVNR', 'value': '73 260249 S 088'}",Lutz,Sperber,lutz.sperber@example.com,74,male,0175-5715390,"{'date': '1949-02-26T21:30:21.403Z', 'age': 74}","{'large': 'https://randomuser.me/api/portraits/men/24.jpg', 'medium': 'https://randomuser.me/api/portraits/med/men/24.jpg', 'thumbnail': 'https://randomuser.me/api/portraits/thumb/men/24.jpg'}",DE
"{'name': 'UIDAI', 'value': '078156168287'}",Yuvraj,Hiremath,yuvraj.hiremath@example.com,51,male,9039676272,"{'date': '1971-07-01T20:47:20.600Z', 'age': 51}","{'large': 'https://randomuser.me/api/portraits/men/10.jpg', 'medium': 'https://randomuser.me/api/portraits/med/men/10.jpg', 'thumbnail': 'https://randomuser.me/api/portraits/thumb/men/10.jpg'}",IN
